file,target_field,present
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,timestamp,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocator_config.json,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocator_config.json,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocator_config.json,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocator_config.json,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocator_config.json,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocator_config.json,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocator_config.json,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocator_config.json,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocator_config.json,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\LEGACY_FILE_TREE.csv,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\LEGACY_FILE_TREE.csv,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\LEGACY_FILE_TREE.csv,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\LEGACY_FILE_TREE.csv,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\LEGACY_FILE_TREE.csv,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\LEGACY_FILE_TREE.csv,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\LEGACY_FILE_TREE.csv,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\LEGACY_FILE_TREE.csv,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\LEGACY_FILE_TREE.csv,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\TASKS_HASHES.csv,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\TASKS_HASHES.csv,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\TASKS_HASHES.csv,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\TASKS_HASHES.csv,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\TASKS_HASHES.csv,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\TASKS_HASHES.csv,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\TASKS_HASHES.csv,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\TASKS_HASHES.csv,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\TASKS_HASHES.csv,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\UNIFIED_FILE_TREE.csv,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\UNIFIED_FILE_TREE.csv,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\UNIFIED_FILE_TREE.csv,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\UNIFIED_FILE_TREE.csv,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\UNIFIED_FILE_TREE.csv,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\UNIFIED_FILE_TREE.csv,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\UNIFIED_FILE_TREE.csv,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\UNIFIED_FILE_TREE.csv,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\UNIFIED_FILE_TREE.csv,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\WRAPPERS_HASHES.csv,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\WRAPPERS_HASHES.csv,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\WRAPPERS_HASHES.csv,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\WRAPPERS_HASHES.csv,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\WRAPPERS_HASHES.csv,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\WRAPPERS_HASHES.csv,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\WRAPPERS_HASHES.csv,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\WRAPPERS_HASHES.csv,exit,0
