file,issue,count
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\risk\daily_summary_2026-03-02.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\risk\risk_ledger.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\risk_ledger.atomic.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\runtime_registry.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state_inventory.csv,missing_r_value,15
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\patch_transactions\TARGETED_LEGACY_CANON_REMEDIATION_20260307_093534\remediation_results.csv,missing_r_value,10
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_DIAG_PAPER_20260303_134740\unzipped\logs_tail\createprocess_trap.jsonl,missing_r_value,11
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_DIAG_PAPER_20260303_134740\unzipped\logs_tail\sitecustomize_loaded.jsonl,missing_r_value,172
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_DIAG_PAPER_20260303_134740\unzipped\logs_tail\spawn_trap.jsonl,missing_r_value,11
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_VALIDATE_PAPER_20260303_134621\logs_tail\createprocess_trap.jsonl,missing_r_value,11
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_VALIDATE_PAPER_20260303_134621\logs_tail\sitecustomize_loaded.jsonl,missing_r_value,172
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_VALIDATE_PAPER_20260303_134621\logs_tail\spawn_trap.jsonl,missing_r_value,11
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\STANDARD_EVIDENCE_BUNDLE_20260304_080031\audit\locks\paper_locks.csv,missing_r_value,114
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\createprocess_trap.jsonl,missing_r_value,13
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\engine_daily_metrics_20260227.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\engine_daily_metrics_20260228.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\engine_daily_metrics_20260302.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\engine_daily_metrics_20260303.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\engine_daily_metrics_20260304.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\hardened_shadow_plans.jsonl,missing_r_value,2
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\ops\gate_state_20260227.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\ops\gate_state_20260228.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\ops\gate_state_20260302.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\ops\gate_state_20260303.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\ops\gate_state_20260304.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\process_guard.jsonl,missing_r_value,70
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\shadow_plans.jsonl,missing_r_value,62
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\sitecustomize_loaded.jsonl,missing_r_value,6
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\supervisor_events.jsonl,missing_r_value,32
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\supervisor_events.v3.jsonl,missing_r_value,1247
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\validation_v2\config_registry.jsonl,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\validation_v2\governance_status.jsonl,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\validation_v2\kpi_snapshots.jsonl,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\validation_v2\outcome_ledger.jsonl,missing_r_value,2
